rep,L,closed,numeric,abs_diff,max_K_drop
41,9,14.264256987640637,14.264256987640639,1.7763568394002505e-15,5.751276813003617
42,5,29.968095726226856,29.968095726226856,0.0,3.6430327133271727
43,5,35.0974697321496,35.097469732149605,7.105427357601002e-15,3.421992239775741
44,3,11.808838006308337,11.808838006308337,0.0,2.468935114346306
45,9,43.47926469831532,43.47926469831532,0.0,3.232479666220898
46,7,10.117857029291244,10.117857029291244,0.0,4.02649967561336
47,2,31.024730215735,31.024730215735,0.0,2.2633929142767757
48,5,38.144984331001105,38.144984331001105,0.0,4.670185608591296
49,3,5.417723920479954,5.417723920479954,0.0,0.0
50,6,20.199510040134086,20.199510040134086,0.0,5.501163703955383
51,8,70.71348616226322,70.71348616226322,0.0,5.600016738160311
52,4,48.432573570740196,48.432573570740196,0.0,0.995598128675308
53,2,17.345860571165783,17.345860571165783,0.0,0.0
54,4,128.36395451797793,128.36395451797793,0.0,3.428240119412565
55,9,13.130176364786923,13.130176364786925,1.7763568394002505e-15,5.54881237313924
56,3,9.129714140291597,9.129714140291597,0.0,3.3052190968261224
57,10,74.15943834760351,74.15943834760351,0.0,5.2290074869494525
58,2,11.163077912748852,11.163077912748852,0.0,0.0
59,4,8.92520359615892,8.92520359615892,0.0,2.528823748452406
60,4,7.62984085399302,7.62984085399302,0.0,3.4966771747128274
61,9,30.783670254149943,30.783670254149943,0.0,3.880236554272301
62,4,126.87733872150166,126.87733872150166,0.0,1.2356219794229055
63,5,11.780864953880297,11.780864953880297,0.0,3.5945433093435994
64,6,8.466659967615696,8.466659967615694,1.7763568394002505e-15,2.9902319853247623
65,2,5.91527554938654,5.91527554938654,0.0,6.673082127405451
66,4,10.215371761564446,10.215371761564446,0.0,3.6682563797717815
67,9,7.327868173136624,7.327868173136624,0.0,3.329275001086491
68,3,20.035993602555067,20.035993602555067,0.0,4.109196774852225
69,10,70.35559055374313,70.35559055374313,0.0,6.462868600133073
70,9,7.630438471262643,7.630438471262643,0.0,3.966694074160109
71,4,22.34531577916964,22.34531577916964,0.0,5.533439159287175
72,9,29.95797481136205,29.95797481136205,0.0,5.691636137153074
73,8,6.723998917280041,6.723998917280041,0.0,2.726166121559719
74,2,28.890960078644643,28.890960078644643,0.0,0.0
75,10,39.167445859059676,39.16744585905967,7.105427357601002e-15,3.040034412532118
76,7,12.970799565226141,12.970799565226141,0.0,3.4688628604159004
77,2,8.13508640387721,8.135086403877212,1.7763568394002505e-15,0.0
78,2,26.81959443978512,26.81959443978512,0.0,6.286238850513186
79,3,9.298067544718434,9.298067544718434,0.0,1.616342582675241
80,9,18.685486154447815,18.685486154447815,0.0,2.3921851892644206
