N,mode,policy,true_h,n_trials,mean_tau,mean_tau_ci_lo,mean_tau_ci_hi,error_rate,error_ci_lo,error_ci_hi,false_unlock_rate,cap_hit_rate
10,uniform_hardest,weak_only,1,120,450.80833333333334,422.73145833333336,480.68562499999996,0.008333333333333333,0.0014725557333420923,0.045696291245049675,0.0,0.0
10,uniform_hardest,weak_only,2,120,547.975,519.4135416666667,581.3585416666667,0.0,0.0,0.031019166418703486,0.0,0.0
10,switching,gated,0,120,3000.0,3000.0,3000.0,0.0,0.0,0.031019166418703486,0.0,1.0
10,switching,gated,1,120,1916.475,1779.67,2045.6408333333331,0.03333333333333333,0.0130375510983506,0.082580337559106,0.0,0.21666666666666667
10,switching,gated,2,120,487.0833333333333,445.65875000000005,536.30625,0.016666666666666666,0.004582564565921141,0.0587359629721589,0.0,0.0
10,switching,oracle,0,120,3000.0,3000.0,3000.0,0.0,0.0,0.031019166418703486,0.0,1.0
10,switching,oracle,1,120,463.9916666666667,422.56395833333335,505.7027083333333,0.0,0.0,0.031019166418703486,1.0,0.0
10,switching,oracle,2,120,1740.6916666666666,1604.744375,1875.8139583333334,0.016666666666666666,0.004582564565921141,0.0587359629721589,1.0,0.125
10,switching,weak_only,0,120,2976.5666666666666,2929.7,3000.0,0.008333333333333333,0.0014725557333420923,0.045696291245049675,0.0,0.9916666666666667
10,switching,weak_only,1,120,1850.7083333333333,1732.3102083333333,1979.2935416666667,0.008333333333333333,0.0014725557333420923,0.045696291245049675,0.0,0.15833333333333333
10,switching,weak_only,2,120,460.0833333333333,413.21,504.9347916666667,0.025,0.008538174769902228,0.0709300333278661,0.0,0.0
